Date Taken (America/New_York),Time Taken (America/New_York),Time Spent,Q1 - Which Title Best Fits your Current Role?,Q2 - Did you switch careers into Data?,Q3 - Current Yearly Salary (in USD),Q4 - What Industry do you work in?,Q5 - Favorite Programming Language,Q6 - How Happy are you in your Current Position with the following? (Salary),Q6 - How Happy are you in your Current Position with the following? (Work/Life Balance),Q6 - How Happy are you in your Current Position with the following? (Coworkers),Q6 - How Happy are you in your Current Position with the following? (Management),Q6 - How Happy are you in your Current Position with the following? (Upward Mobility),Q6 - How Happy are you in your Current Position with the following? (Learning New Things),Q7 - How difficult was it for you to break into Data?,"Q8 - If you were to look for a new job today, what would be the most important thing to you?",Q9 - Male/Female?,Q10 - Current Age,Q11 - Which Country do you live in?,Q12 - Highest Level of Education,Q13 - Ethnicity
6/10/2022,8:54,0:01:37,data engineer,no,137.5,tech,sql,8.0,10.0,10.0,9.0,9.0,9.0,easy,better salary,male,43,United states,No Reponse,white or caucasian
6/10/2022,8:54,0:02:08,data analyst,no,53.0,finance,python,2.0,3.0,5.0,5.0,5.0,5.0,difficult,better salary,female,26,Canada,No Reponse,south asian
6/10/2022,8:54,0:03:54,fp&a analyst,no,53.0,automotive,python,5.0,10.0,8.0,8.0,8.0,7.0,neither easy nor difficult,remote work,male,32,Japan,No Reponse,white or caucasian
6/10/2022,8:54,0:02:28,bi developer,no,20.0,tech,python,2.0,9.0,7.0,7.0,5.0,6.0,difficult,better salary,male,31,Greece,No Reponse,white or caucasian
6/10/2022,8:55,0:01:33,data analyst,yes,95.5,healthcare,sql,3.0,5.0,6.0,4.0,4.0,5.0,neither easy nor difficult,better salary,male,29,United states,No Reponse,white or caucasian
6/10/2022,8:55,0:00:56,data analyst,yes,20.0,automotive ,python,3.0,1.0,3.0,2.0,3.0,1.0,neither easy nor difficult,good culture,male,24,Peru,No Reponse,hispanic or latino
6/10/2022,8:55,0:02:38,student/looking/none,yes,53.0,construction,python,2.0,0.0,2.0,2.0,0.0,0.0,very difficult,remote work,male,34,United states,No Reponse,white or caucasian
6/10/2022,8:57,0:01:52,data analyst,yes,53.0,utili,power bi,5.0,6.0,6.0,5.0,4.0,6.0,very difficult,better salary,male,42,Australiaalia,No Reponse,indian
6/10/2022,8:57,0:02:03,student/looking/none,yes,20.0,not working yet,javascript,0.0,0.0,0.0,0.0,0.0,0.0,difficult,remote work,female,40,United states,No Reponse,asian or asian american
6/10/2022,8:57,0:02:32,student/looking/none,no,53.0,telecommunication,python,3.0,1.0,3.0,4.0,0.0,3.0,easy,good work/life balance,male,43,Spain,No Reponse,white or caucasian
6/10/2022,8:58,0:02:39,student/looking/none,yes,20.0,construction,python,0.0,0.0,0.0,0.0,0.0,0.0,very difficult,better salary,male,23,Kenya,No Reponse,kenyan african 
6/10/2022,8:59,0:01:11,student/looking/none,yes,20.0,education,python,5.0,5.0,3.0,5.0,2.0,6.0,difficult,better salary,male,23,Japan,No Reponse,asian or asian american
6/10/2022,8:59,0:03:55,data analyst,yes,95.5,manufa,python,8.0,6.0,2.0,3.0,6.0,7.0,neither easy nor difficult,"strong organizational data strategy, high-performing team",male,28,United states,No Reponse,white or caucasian
6/10/2022,9:00,0:01:25,data analyst,no,75.5,finance,sql,5.0,7.0,1.0,1.0,0.0,8.0,neither easy nor difficult,better salary,male,32,United states,No Reponse,white or caucasian
6/10/2022,9:02,0:02:47,data analyst,yes,75.5,manufacturing (chemicals),r,7.0,8.0,10.0,8.0,9.0,9.0,difficult,remote work,female,41,United states,No Reponse,white or caucasian
6/10/2022,9:02,0:00:56,data analyst,yes,53.0,finance,python,5.0,6.0,6.0,6.0,6.0,6.0,neither easy nor difficult,remote work,male,33,United kingdom,high school,white or caucasian
6/10/2022,9:02,0:01:57,"manager, business intelligence develop",yes,187.5,tech,python,10.0,8.0,9.0,8.0,8.0,10.0,easy,good work/life balance,male,38,United states,No Reponse,hispanic or latino
6/10/2022,9:02,0:02:32,data analyst,no,20.0,tech,sql,8.0,8.0,8.0,8.0,5.0,10.0,easy,better salary,female,22,India,No Reponse,indian
6/10/2022,9:03,0:01:59,student/looking/none,yes,20.0,currently studying . previously worked in power generation,r,1.0,3.0,6.0,6.0,6.0,9.0,difficult,remote work,male,36,Barbados,bachelors,black or african american
6/10/2022,9:03,0:01:18,data engineer,no,75.5,finance,python,2.0,1.0,1.0,1.0,3.0,7.0,easy,remote work,female,28,United states,masters,asian or asian american
6/10/2022,9:05,0:01:44,data analyst,yes,75.5,tech,python,6.0,6.0,6.0,6.0,5.0,6.0,difficult,currently very happy with where i am.,female,24,United states,bachelors,hispanic or latino
6/10/2022,9:06,0:01:58,business analyst,no,53.0,third party logistics ,c/c++,3.0,6.0,7.0,7.0,0.0,3.0,very difficult,better salary,male,29,United states,bachelors,white or caucasian
6/10/2022,9:07,0:02:15,data analyst,no,20.0,tech,python,4.0,9.0,10.0,9.0,9.0,10.0,easy,better salary,male,29,Colombia,associates,hispanic or latino
6/10/2022,9:08,0:02:04,business analyst,yes,53.0,automotive,python,6.0,8.0,8.0,7.0,9.0,7.0,neither easy nor difficult,good work/life balance,male,38,Germany,masters,white or caucasian
6/10/2022,9:08,0:01:46,data analyst,yes,20.0,finance,i don’t know any,3.0,5.0,4.0,3.0,3.0,3.0,difficult,good work/life balance,male,31,Bulgaria,masters,white or caucasian
6/10/2022,9:09,0:01:33,student/looking/none,no,20.0,tech,python,1.0,4.0,5.0,5.0,1.0,1.0,difficult,better salary,male,25,United states,masters,white or caucasian
6/10/2022,9:09,0:01:09,data analyst,no,75.5,telecommunication,python,4.0,6.0,4.0,5.0,4.0,4.0,neither easy nor difficult,better salary,male,24,United states,masters,white or caucasian
6/10/2022,9:12,0:04:03,business intelligence consultant,yes,53.0,tech,python,6.0,7.0,4.0,3.0,9.0,8.0,difficult,better salary,male,28,Turkey,bachelors,white or caucasian
6/10/2022,9:13,0:01:03,student/looking/none,no,20.0,tech,python,7.0,5.0,8.0,0.0,0.0,0.0,neither easy nor difficult,good culture,female,23,India,bachelors,asian or asian american
6/10/2022,9:13,0:01:01,data engineer,no,20.0,tech,r,2.0,3.0,2.0,5.0,5.0,7.0,neither easy nor difficult,remote work,male,21,Spain,masters,hispanic or latino
6/10/2022,9:14,0:02:43,data analyst,no,20.0,energy,python,4.0,4.0,4.0,4.0,5.0,6.0,neither easy nor difficult,remote work,male,29,France,bachelors,human
6/10/2022,9:15,0:03:15,data analyst,yes,53.0,tech,python,5.0,6.0,7.0,7.0,7.0,6.0,difficult,better salary,male,25,United states,bachelors,asian or asian american
6/10/2022,9:15,0:01:24,data analyst,no,53.0,tech,python,6.0,6.0,6.0,6.0,3.0,5.0,difficult,good culture,male,27,Germany,masters,black or african american
6/10/2022,9:16,0:01:28,data analyst,yes,53.0,tech,python,3.0,9.0,10.0,8.0,9.0,9.0,easy,better salary,male,23,India,bachelors,asian or asian american
6/10/2022,9:16,0:02:36,sr. supply chain analyst,no,95.5,food & beverage ,r,4.0,3.0,3.0,5.0,5.0,5.0,difficult,better salary,male,32,United states,masters,asian or asian american
6/10/2022,9:17,0:02:41,student/looking/none,yes,115.5,healthcare,python,5.0,5.0,7.0,5.0,7.0,7.0,neither easy nor difficult,remote work,male,22,India,bachelors,asian or asian american
6/10/2022,9:17,0:04:14,data analyst,no,20.0,tech,python,2.0,9.0,9.0,8.0,6.0,2.0,easy,better salary,male,25,Thailand,bachelors,asian or asian american
6/10/2022,9:18,0:01:15,data analyst,yes,20.0,telecommunication,python,2.0,8.0,6.0,6.0,5.0,5.0,neither easy nor difficult,remote work,female,36,Germany,masters,white or caucasian
6/10/2022,9:19,0:02:21,data analyst,yes,115.5,tech,sql,10.0,6.0,9.0,5.0,8.0,7.0,easy,good work/life balance,female,27,United states,bachelors,white or caucasian
6/10/2022,9:19,0:02:17,business analyst,yes,20.0,tech,python,5.0,5.0,5.0,5.0,5.0,1.0,neither easy nor difficult,my passion is to become a data analyst ,male,23,India,bachelors,asian or asian american
6/10/2022,9:19,0:01:32,student/looking/none,yes,20.0,tech,sql,2.0,3.0,3.0,3.0,3.0,6.0,very difficult,better salary,male,26,Netherlands,bachelors,black or african american
6/10/2022,9:20,0:01:19,director of data analytics,no,95.5,healthcare,python,9.0,10.0,10.0,10.0,10.0,10.0,very easy,good work/life balance,female,33,United states,phd,hispanic or latino
6/10/2022,9:20,0:01:33,data analyst,yes,115.5,automotive,python,3.0,5.0,3.0,3.0,5.0,5.0,easy,better salary,male,27,Turkey,masters,white or caucasian
6/10/2022,9:21,0:01:38,data analyst,yes,53.0,education,r,3.0,6.0,5.0,4.0,3.0,4.0,neither easy nor difficult,better salary,male,42,United states,associates,white or caucasian
6/10/2022,9:21,0:02:36,data analyst,yes,20.0,tech,python,6.0,7.0,8.0,7.0,7.0,8.0,easy,good work/life balance,male,29,Spain,masters,white or caucasian
6/10/2022,9:22,0:01:08,data analyst,no,137.5,tech,python,4.0,7.0,6.0,4.0,2.0,4.0,easy,better salary,female,27,United states,masters,asian or asian american
6/10/2022,9:22,0:01:41,student/looking/none,no,53.0,healthcare,python,0.0,10.0,10.0,10.0,4.0,2.0,neither easy nor difficult,remote work,female,39,United states,bachelors,hispanic or latino
6/10/2022,9:23,0:01:36,data analyst,yes,53.0,telecommunication,python,6.0,6.0,7.0,5.0,6.0,7.0,difficult,good culture,male,31,Denmark,masters,white or caucasian
6/10/2022,9:23,0:03:09,data analyst,yes,75.5,marketing,python,7.0,7.0,5.0,9.0,7.0,8.0,easy,good work/life balance,male,29,Brazil,bachelors,hispanic or latino
6/10/2022,9:25,0:01:22,data analyst,yes,75.5,education,r,7.0,7.0,7.0,7.0,4.0,7.0,easy,remote work,male,31,United states,masters,white or caucasian
6/10/2022,9:26,0:01:30,data analyst,yes,20.0,finance,python,10.0,9.0,9.0,10.0,9.0,10.0,neither easy nor difficult,good culture,male,30,Mexico,masters,hispanic or latino
6/10/2022,9:26,0:03:05,data engineer,yes,20.0,tech,python,7.0,8.0,6.0,5.0,5.0,9.0,difficult,better salary,male,33,Mexico,masters,hispanic or latino
6/10/2022,9:27,0:00:58,data analyst,no,75.5,retail,python,7.0,8.0,9.0,7.0,7.0,7.0,neither easy nor difficult,better salary,male,25,United states,bachelors,white or caucasian
6/10/2022,9:27,0:01:09,student/looking/none,no,20.0,tech,r,0.0,0.0,0.0,0.0,0.0,0.0,neither easy nor difficult,good work/life balance,male,23,India,bachelors,indian
6/10/2022,9:27,0:01:51,data analyst,yes,53.0,advertising,na,4.0,4.0,3.0,3.0,5.0,6.0,very difficult,better salary,male,33,United states,bachelors,asian or asian american
6/10/2022,9:27,0:02:29,business analyst,yes,75.5,logistics,python,7.0,9.0,9.0,8.0,8.0,9.0,neither easy nor difficult,good work/life balance,male,35,Chile,bachelors,hispanic or latino
6/10/2022,9:29,0:01:14,data analyst,no,75.5,tech,python,3.0,4.0,2.0,1.0,0.0,4.0,neither easy nor difficult,better salary,male,25,United states,bachelors,white or caucasian
6/10/2022,9:30,0:03:00,data analyst,no,95.5,automotive,python,5.0,4.0,5.0,4.0,3.0,6.0,neither easy nor difficult,"different job title, either product owner or consulting",male,23,United states,bachelors,white or caucasian
6/10/2022,9:31,0:02:02,learning management specialist,no,53.0,healthcare,javascript,2.0,4.0,6.0,5.0,3.0,4.0,easy,better salary,female,51,United states,bachelors,black or african american
6/10/2022,9:32,0:01:45,data analyst,no,20.0,telecommunication,other,1.0,4.0,4.0,3.0,2.0,6.0,very difficult,better salary,male,30,United kingdom,bachelors,black or african american
6/10/2022,9:33,0:01:41,data analyst,yes,53.0,finance,python,8.0,9.0,9.0,9.0,9.0,8.0,very difficult,better salary,male,23,India,bachelors,asian or asian american
6/10/2022,9:34,0:01:06,research analyst,yes,53.0,advertising,r,3.0,5.0,5.0,6.0,3.0,4.0,neither easy nor difficult,better salary,male,24,Canada,bachelors,asian or asian american
6/10/2022,9:35,0:01:06,student/looking/none,yes,53.0,tech,python,6.0,6.0,6.0,6.0,6.0,6.0,easy,good culture,male,25,Australiaalia,masters,asian or asian american
6/10/2022,9:35,0:02:22,data analyst,yes,53.0,finance,python,4.0,4.0,6.0,4.0,5.0,6.0,difficult,better salary,female,55,United states,masters,race isn't a thing
6/10/2022,9:36,0:01:56,data analyst,no,95.5,biotech,r,8.0,10.0,8.0,7.0,8.0,10.0,very easy,remote work,female,30,United states,masters,white or caucasian
6/10/2022,9:36,0:01:10,data analyst,yes,53.0,consulting,python,9.0,9.0,9.0,9.0,7.0,4.0,difficult,better salary,male,25,Canada,bachelors,asian or asian american
6/10/2022,9:37,0:00:28,data analyst,yes,75.5,consumer elec,python,6.0,9.0,7.0,6.0,7.0,7.0,neither easy nor difficult,better salary,male,28,United states,masters,white or caucasian
6/10/2022,9:38,0:02:22,insights analyst,yes,53.0,consulting,python,8.0,8.0,9.0,9.0,10.0,10.0,very easy,better salary,male,34,United kingdom,bachelors,white or caucasian
6/10/2022,9:38,0:03:18,data analyst,yes,20.0,tech,python,8.0,10.0,9.0,9.0,10.0,8.0,neither easy nor difficult,better salary,female,28,Costa rica,bachelors,hispanic or latino
6/10/2022,9:39,0:01:55,student/looking/none,no,20.0,semiconductor manufacturing,other,7.0,9.0,7.0,8.0,8.0,10.0,neither easy nor difficult,better salary,male,24,Vietnam,bachelors,asian or asian american
6/10/2022,9:39,0:01:15,student/looking/none,yes,20.0,healthcare,python,3.0,7.0,7.0,7.0,1.0,2.0,difficult,better salary,male,31,United states,masters,black or african american
6/10/2022,9:40,0:02:07,data analyst,yes,53.0,"supply chain - warehousing, transpiration and ",sql,3.0,6.0,6.0,6.0,4.0,4.0,easy,better salary,male,25,Canada,bachelors,asian or asian american
6/10/2022,9:40,0:01:05,data analyst,yes,115.5,finance,python,5.0,1.0,4.0,3.0,3.0,4.0,easy,better salary,female,38,United states,bachelors,white or caucasian
6/10/2022,9:40,0:01:32,data analyst,no,53.0,finance,python,5.0,5.0,5.0,5.0,4.0,5.0,neither easy nor difficult,good culture,male,30,Netherlands,bachelors,hispanic or latino
6/10/2022,9:40,0:01:32,data analyst,yes,20.0,tech,c/c++,0.0,0.0,0.0,2.0,2.0,5.0,neither easy nor difficult,good work/life balance,male,25,India,bachelors,asian or asian american
6/10/2022,9:41,0:01:08,data analyst,yes,20.0,tech,python,1.0,2.0,1.0,5.0,6.0,6.0,neither easy nor difficult,better salary,female,29,Nigeria,bachelors,black or african american
6/10/2022,9:44,0:04:27,data scientist,yes,187.5,finance,python,7.0,5.0,3.0,6.0,4.0,4.0,difficult,good work/life balance,male,21,Portugal,masters,white or caucasian
6/10/2022,9:44,0:02:00,data analyst,yes,75.5,distribution,sql,5.0,8.0,8.0,7.0,6.0,7.0,very easy,remote work,female,39,United states,bachelors,asian or asian american
6/10/2022,9:45,0:01:19,student/looking/none,no,20.0,other (please specify),python,0.0,0.0,0.0,0.0,0.0,5.0,neither easy nor difficult,better salary,male,25,Turkey,bachelors,white or caucasian
6/10/2022,9:45,0:02:36,social media analyst,yes,95.5,finance,na,7.0,9.0,10.0,6.0,4.0,4.0,neither easy nor difficult,opportunity for advancement ,female,42,United states,masters,hispanic or latino
6/10/2022,9:46,0:00:48,data analyst,no,53.0,tech,r,10.0,8.0,9.0,10.0,10.0,10.0,easy,better salary,male,25,United states,bachelors,white or caucasian
6/10/2022,9:47,0:01:20,data scientist,no,95.5,finance,python,8.0,7.0,6.0,6.0,5.0,9.0,neither easy nor difficult,better salary,male,22,United states,bachelors,white or caucasian
6/10/2022,9:48,0:02:36,data engineer,yes,53.0,ecom,javascript,6.0,6.0,6.0,6.0,6.0,6.0,difficult,good culture,male,25,Egypt,high school,middleeas
6/10/2022,9:48,0:01:05,data engineer,yes,75.5,consulti,python,5.0,7.0,7.0,6.0,6.0,7.0,neither easy nor difficult,better salary,male,45,Canada,masters,white or caucasian
6/10/2022,9:49,0:01:29,data analyst,yes,75.5,healthcare,sql,7.0,3.0,8.0,6.0,8.0,8.0,easy,good work/life balance,male,24,United states,bachelors,white or caucasian
6/10/2022,9:49,0:03:57,student/looking/none,no,20.0,state government,r,1.0,9.0,6.0,0.0,0.0,0.0,difficult,better salary,male,25,United states,No Reponse,black or african american
6/10/2022,9:51,0:01:36,data analyst,yes,75.5,marketing,python,9.0,8.0,9.0,9.0,8.0,8.0,difficult,good work/life balance,male,26,United states,bachelors,white or caucasian
6/10/2022,9:54,0:01:41,data analyst,no,53.0,tech,r,4.0,7.0,8.0,8.0,5.0,7.0,easy,better salary,male,23,Canada,bachelors,asian or asian american
6/10/2022,9:55,0:01:37,student/looking/none,yes,20.0,culture,python,1.0,1.0,1.0,0.0,0.0,3.0,difficult,remote work,female,42,United kingdom,masters,white or caucasian
6/10/2022,9:56,0:01:30,educator,yes,53.0,education,na,0.0,0.0,2.0,0.0,0.0,0.0,very difficult,good work/life balance,female,42,United states,bachelors,black or african american
6/10/2022,9:57,0:01:26,business analyst,no,20.0,tech,python,0.0,6.0,5.0,5.0,3.0,1.0,neither easy nor difficult,better salary,male,25,India,masters,asian or asian american
6/10/2022,9:58,0:02:24,data analyst,yes,95.5,tech,r,8.0,10.0,10.0,10.0,2.0,7.0,easy,remote work,male,38,United states,masters,white or caucasian
6/10/2022,9:58,0:02:51,business intelligence engineer,no,20.0,tech,python,5.0,6.0,6.0,6.0,6.0,4.0,easy,better salary,male,24,Costa rica,bachelors,hispanic or latino
6/10/2022,10:01,0:01:37,data analyst,yes,75.5,education,r,7.0,10.0,10.0,10.0,8.0,10.0,neither easy nor difficult,good work/life balance,male,28,United states,bachelors,white or caucasian
6/10/2022,10:03,0:01:06,data analyst,no,53.0,healthcare,python,1.0,2.0,8.0,7.0,0.0,0.0,difficult,better salary,male,21,United states,bachelors,asian or asian american
6/10/2022,10:03,0:01:13,data analyst,yes,115.5,healthcare,r,10.0,10.0,10.0,10.0,10.0,10.0,very easy,good culture,male,39,United states,masters,white or caucasian
6/10/2022,10:05,0:03:29,data analyst,yes,20.0,tech,python,4.0,5.0,5.0,5.0,6.0,8.0,difficult,good work/life balance,male,23,Pakistan,bachelors,asian or asian american
6/10/2022,10:05,0:01:17,data analyst,no,20.0,government,r,1.0,6.0,4.0,3.0,5.0,6.0,neither easy nor difficult,good work/life balance,female,23,Australiaalia,bachelors,white or caucasian
6/10/2022,10:05,0:02:03,data analyst,yes,75.5,distribution,r,8.0,9.0,8.0,7.0,7.0,8.0,neither easy nor difficult,good work/life balance,male,30,United states,masters,white or caucasian
6/10/2022,10:06,0:01:16,data analyst,no,53.0,manufacturing,python,2.0,6.0,2.0,3.0,2.0,2.0,easy,better salary,male,26,Irelandlandand,masters,white or caucasian
6/10/2022,10:06,0:02:18,data analyst,yes,53.0,healthcare,r,3.0,6.0,4.0,6.0,4.0,6.0,neither easy nor difficult,better salary,male,37,United states,bachelors,white or caucasian
6/10/2022,10:08,0:01:22,data analyst,yes,75.5,healthcare,python,3.0,5.0,4.0,5.0,4.0,4.0,neither easy nor difficult,better salary,female,31,United states,bachelors,white or caucasian
6/10/2022,10:11,0:02:03,data analyst,yes,20.0,finance,c/c++,5.0,2.0,4.0,3.0,3.0,3.0,difficult,good work/life balance,female,25,South africa,bachelors,black or african american
6/10/2022,10:12,0:02:04,data analyst,yes,20.0,healthcare,python,2.0,6.0,6.0,5.0,4.0,5.0,easy,better salary,female,26,Poland,bachelors,white or caucasian
6/10/2022,10:13,0:01:28,data analyst,yes,75.5,healthcare,sql,7.0,8.0,8.0,8.0,8.0,7.0,very easy,better salary,male,30,United states,bachelors,white or caucasian
6/10/2022,10:13,0:01:39,data analyst,yes,75.5,tech,python,9.0,10.0,10.0,10.0,7.0,9.0,neither easy nor difficult,better salary,female,39,United states,bachelors,black or african american
6/10/2022,10:16,0:00:53,research associate,no,20.0,education,python,1.0,1.0,1.0,0.0,0.0,2.0,easy,good work/life balance,female,28,India,masters,asian or asian american
6/10/2022,10:18,0:01:46,data analyst,yes,75.5,finance,sql,8.0,8.0,7.0,7.0,10.0,10.0,very easy,good work/life balance,male,22,United states,bachelors,mixed ( caucasian / african-american )
6/10/2022,10:19,0:02:45,data analyst,yes,20.0,telecommunication,python,3.0,2.0,4.0,2.0,2.0,2.0,neither easy nor difficult,good culture,male,28,Mozambique,bachelors,black or african american
6/10/2022,10:20,0:01:44,analytics manager,no,187.5,tech,r,8.0,10.0,9.0,7.0,5.0,5.0,neither easy nor difficult,remote work,male,33,United states,masters,white or caucasian
6/10/2022,10:21,0:05:11,data analyst,yes,20.0,finance,sql,2.0,3.0,3.0,3.0,2.0,4.0,neither easy nor difficult,good work/life balance,female,22,Egypt,bachelors,half asian half african 
6/10/2022,10:23,0:01:48,student/looking/none,no,20.0,tech,python,3.0,5.0,5.0,4.0,4.0,5.0,neither easy nor difficult,better salary,male,27,India,bachelors,brown
6/10/2022,10:25,0:03:42,data analyst,yes,115.5,cons,dax,8.0,8.0,8.0,8.0,10.0,10.0,easy,good work/life balance,male,37,United states,bachelors,prefer not to ans
